Land,Jaar,HydroEnergy,SolarEnergy,WindEnergy,Oppervlakte,BNPpp,RenewableEnergy,percentageGroen,BPNperLand,GrijzeEnergie,Populatie
Aruba,1999,0,0,0,180,19356.42087,5.435325,0.099051219,1722798883,5487.388298,89004
Aruba,2000,0,0,0,180,20619.56585,9.406765,0.166552325,1873452514,5647.933765,90858
Aruba,2001,0,0,0,180,20671.54574,9.70252,0.180523335,1920262570,5374.662506,92894
Aruba,2002,0,0,0,180,20433.65411,10.041855,0.181390813,1941094972,5536.032853,94995
Aruba,2003,0,0,0,180,20834.93971,10.37415,0.184549671,2021301676,5621.332156,97015
Aruba,2004,0,0,0,180,22566.68216,10.73385,0.187054711,2228279330,5738.347857,98742
Aruba,2005,0,0,0,180,23302.83199,11.077375,0.186599365,2331005587,5936.44839,100031
Aruba,2006,0,0,0,180,24015.42061,11.3151775,0.190373968,2421474860,5943.657959,100830
Aruba,2007,0,0,0,180,25921.53823,11.55298,0.190059132,2623726257,6078.623994,101218
Aruba,2008,0,0,0,180,27549.88942,11.79183,0.193546026,2791960894,6092.519823,101342
Aruba,2009,0,0,0,180,24640.42124,19.05168,0.308474196,2498932961,6176.10168,101416
Aruba,2010,0,0,321.9467135,180,24289.14152,340.7631485,5.472760429,2467703911,6226.531435,101597
Aruba,2011,0,0,336.2244471,180,25353.78754,354.8068071,5.662064014,2584463687,6266.386361,101936
Aruba,2012,0,0,380,180,0,354.8068071,5.662064014,0,6266.386361,102393
Australia,1990,42663.44819,3404.33,0,7741220,18221.10499,176729.7314,8.009578595,310945000000,2206479.77,17065100
Australia,1991,47933.47302,3379.33,0,7741220,18840.64044,181011.201,8.245472298,325642000000,2195279.96,17284000
Australia,1992,46176.49989,3358.36,0,7741220,18594.64928,166746.3827,7.516470192,325313000000,2218413.41,17495000
Australia,1993,49933.83539,3376.580726,0,7741220,17661.65887,197804.8612,8.6169922,312029000000,2295520.95,17667000
Australia,1994,49521.3901,3373.732768,12.11162093,7741220,18083.1385,193855.211,8.259947233,322874000000,2346930.38,17855000
Australia,1995,47953.13664,3378.650295,21.13137907,7741220,20364.2497,199700.3979,8.217805615,368023000000,2430093.96,18072000
Australia,1996,46617.20103,3389.844866,21.17863495,7741220,21921.7799,222351.3164,8.865971218,401410000000,2507918.32,18311000
Australia,1997,50100.11577,3412.145772,21.23914791,7741220,23526.28664,233636.4189,9.080243546,435636000000,2573019.3,18517000
Australia,1998,46347.07745,3443.720539,24.10301109,7741220,21341.72965,224253.2008,8.595072717,399325000000,2609090.21,18711000
Australia,1999,48278.75965,3485.667031,83.42931988,7741220,20537.47184,225688.9938,8.507273551,388692000000,2652894.52,18926000
Australia,2000,48488.81391,3529.976829,171.904108,7741220,21666.95168,229780.2465,8.423342353,414987000000,2727898.699,19153000
Australia,2001,47972.22786,3743.749354,608.2332821,7741220,19496.63871,230343.3299,8.370282463,378488000000,2751918.241,19413000
Australia,2002,48050.72962,3821.591817,1101.622824,7741220,20062.22114,242362.313,8.738721176,394251000000,2773429.98,19651400
Australia,2003,48834.79303,2952.51638,2109.55263,7741220,23445.18676,197752.3664,7.139003211,466451000000,2770027.699,19895400
Australia,2004,47836.99946,2820.378452,2093.425488,7741220,30449.61965,188691.6501,6.668828099,612872000000,2829457.399,20127400
Australia,2005,45679.10424,2858.210768,2640.669362,7741220,33995.85167,188970.0459,6.695245105,693339000000,2822451.5,20394800
Australia,2006,47463.73239,2702.734298,5105.197387,7741220,36100.55852,194985.7083,6.84431057,747206000000,2848872.889,20697900
Australia,2007,42828.26338,6325.415291,7798.632798,7741220,40976.45219,203768.2602,6.939096681,853441000000,2936524.299,20827600
Australia,2008,35698.50183,7047.42609,9271.598467,7741220,49650.41754,202489.6182,6.790637679,1055030000000,2981894.01,21249200
Australia,2009,35284.49995,8720.782821,11432.63242,7741220,42702.19828,200435.1851,6.794859973,926283000000,2949805.969,21691700
Australia,2010,40319.36258,10972.2207,15087.28389,7741220,51801.04895,214276.1815,7.159707789,1141270000000,2992806.24,22031750
Australia,2011,50386.53166,13554.91118,17462.07862,7741220,62133.61078,227996.418,7.477579186,1388070000000,3049067.249,22340024
Australia,2012,42476.72976,15888.21443,18512.77977,7741220,67511.82496,263456.0405,8.442666147,1534430000000,3120531.31,22728254
Austria,1990,98426.57752,620.86,0,83879,21628.75363,191963.6802,25.26325878,166062000000,759853.1997,7677850
Austria,1991,101115.5149,790.84,0,83879,22356.92109,202599.31,24.62211069,173375000000,822834.8599,7754891
Austria,1992,111402.4596,970.79,0,83879,24820.22854,210211.5538,26.24648125,194608000000,800913.2798,7840709
Austria,1993,115666.2572,1046.961154,0,83879,24023.51502,215454.0399,26.45604552,189921000000,814384.9002,7905633
Austria,1994,112519.8748,1232.901111,0,83879,25584.91877,204638.2872,25.7487398,203045000000,794750.6899,7936118
Austria,1995,112987.5558,1496.768198,3.048198014,83879,30252.79469,214483.2877,25.7331252,240458000000,833491.02,7948278
Austria,1996,111096.8816,1765.886928,16.234639,83879,29742.43697,218014.5683,24.13979661,236721000000,903133.41,7959017
Austria,1997,114170.5716,2021.934363,63.24363473,83879,26646.88677,220452.8663,24.96232361,212323000000,883142.4099,7968041
Austria,1998,118972.2563,2281.972726,144.0613388,83879,27289.6321,221765.617,24.49393457,217684000000,905389.9298,7976789
Austria,1999,124400.9128,2434.663217,155.8870379,83879,27116.67208,242516.0447,26.51239601,216725000000,914727.0002,7992324
Austria,2000,129671.756,2619.808577,207.6682199,83879,24517.26515,242407.4695,26.46581452,196422000000,915926.73,8011566
Austria,2001,127886.4385,2800.276011,331.92624,83879,24489.73776,249324.5096,25.56095051,196954000000,975411.7301,8042293
Austria,2002,128494.5378,2926.178125,447.1930616,83879,26351.3815,242477.5491,24.67461891,212971000000,982700.2799,8081957
Austria,2003,114490.3218,3360.074195,1282.264029,83879,32102.92638,234552.8047,22.56999759,260721000000,1039223.88,8121423
Austria,2004,121319.8757,3619.732583,3082.334038,83879,36693.39958,244255.4339,23.20222047,299857000000,1052724.39,8171966
Austria,2005,120173.296,3884.067133,4361.061617,83879,38242.05007,265255.6697,24.31056124,314649000000,1091112.9,8227829
Austria,2006,126585.9345,4233.897756,6188.363114,83879,40430.99361,286820.893,26.63306808,334309000000,1076935.23,8268641
Austria,2007,132261.2855,4541.692943,7261.306055,83879,46586.6486,308960.021,29.05505684,386459000000,1063360.58,8295487
Austria,2008,131214.4079,4930.726879,6880.092153,83879,51386.37841,319301.6681,29.636204,427612000000,1077404.07,8321496
Austria,2009,132107.4998,5381.762747,6356.231398,83879,47654.19387,326506.1574,31.31491199,397594000000,1042653.92,8343323
Austria,2010,126547.4253,6978.734781,6809.371862,83879,46593.38922,347060.9636,31.39805136,389679000000,1105358.29,8363404
Austria,2011,123136.6412,7661.304268,6956.831737,83879,51130.96905,336640.317,31.45927804,429073000000,1070082.78,8391643
Austria,2012,144540.0822,8402.205922,8129.760734,83879,48348.22596,367297.3235,34.45059921,407575000000,1066156.56,8429991
Azerbaijan,1990,4076.439924,0,0,86600,1237.324492,4783.299924,0.722063012,8858006036,662449.0999,7159000
Azerbaijan,1991,4371.031975,0,0,86600,1209.237493,5088.901975,0.80464655,8792365811,632439.4201,7271000
Azerbaijan,1992,4521.285149,0,0,86600,676.1515115,5250.165149,1.217250364,4991350458,431313.5,7382000
Azerbaijan,1993,6144.10255,0,0,86600,530.0903798,6883.95255,1.9830662,3973027397,347136.8001,7495000
Azerbaijan,1994,4675.986154,0,0,86600,436.1905586,5425.846154,1.515961876,3313739674,357914.4199,7597000
Azerbaijan,1995,4220.692908,0,0,86600,397.1981161,4979.552908,1.366840842,3052467522,364311.1001,7685000
Azerbaijan,1996,3980.848416,0,0,86600,409.2167452,4747.698416,1.738900989,3176749593,273028.68,7763000
Azerbaijan,1997,4464.693847,0,0,86600,505.5605732,5238.543847,1.989850252,3962710163,263263.22,7838250
Azerbaijan,1998,5205.612281,0,0,86600,561.9103017,5986.452281,2.48438198,4446396218,240963.44,7913000
Azerbaijan,1999,4233.105333,0,0,86600,573.8902562,5020.935333,2.143935794,4581222442,234192.43,7982750
Azerbaijan,2000,4266.828506,0,0,86600,655.0974326,5061.688506,2.065644318,5272617196,245041.63,8048600
Azerbaijan,2001,3721.379166,0,0,86600,703.6712504,4307.279166,1.75252321,5707618247,245775.87,8111200
Azerbaijan,2002,5634.76305,0,0,86600,763.1012122,6136.67305,2.351897418,6236024951,260924.35,8171950
Azerbaijan,2003,6875.278823,0,0,86600,883.614009,7880.068823,2.944782016,7275766111,267594.3,8234100
Azerbaijan,2004,7729.074959,0,0,86600,1045.026415,8230.984959,3.070783292,8680511918,268041.87,8306500
Azerbaijan,2005,8541.192267,0,0,86600,1578.36733,9587.972267,3.365194531,13245421881,284915.84,8391850
Azerbaijan,2006,7254.475677,0,0,86600,2473.085776,8259.265677,2.861587063,20983019924,288625.35,8484550
Azerbaijan,2007,6173.069798,0,0,86600,3851.437869,9854.359798,3.788701737,33050343783,260098.59,8581300
Azerbaijan,2008,5780.087977,0,0,86600,5574.603802,9358.417977,3.086306795,48852482960,303223.84,8763400
